time	V_in
1.00326866120471614E-7	-2.32543494132979411E-2
1.00378082359934395E-7	-2.30112293541182211E-2
1.00433852806993862E-7	-2.27791917942007105E-2
1.00549299987006324E-7	-2.24147530323159350E-2
1.00609507798557463E-7	-2.22730777066856023E-2
1.00664206043361859E-7	-2.21593073766348647E-2
1.00724019825336386E-7	-2.20466831142025299E-2
1.00811421274569080E-7	-2.18980246384940713E-2
1.00863281204086919E-7	-2.18252781158396925E-2
1.00916799993781470E-7	-2.17681076572265342E-2
1.00982745321837464E-7	-2.17236368522061074E-2
1.01071032621903067E-7	-2.16844798308060271E-2
1.01122760138691614E-7	-2.16611084109083230E-2
1.01177903304863825E-7	-2.16350788959007323E-2
1.01246237418004981E-7	-2.16007240874881834E-2
1.01313823518792234E-7	-2.15712897915475299E-2
1.01364093640711306E-7	-2.15513331615575021E-2
1.01417806242005804E-7	-2.15190785038650478E-2
1.01487213592887482E-7	-2.14583535470032194E-2
1.01543013496898404E-7	-2.13860561785434955E-2
1.01588105201598244E-7	-2.13028690855231151E-2
1.01639890637352548E-7	-2.11825444495492166E-2
1.01698768681313245E-7	-2.10205027349182583E-2
1.01755582920154897E-7	-2.08421705872251906E-2
1.01812218183713532E-7	-2.06458026346719770E-2
1.01860013052666343E-7	-2.04675598486541821E-2
1.01914699955438026E-7	-2.02451878955268105E-2
1.01980995311925504E-7	-1.99596099855004061E-2
1.02066258979949409E-7	-1.95663552452951794E-2
1.02117979125568925E-7	-1.93241152235954172E-2
1.02172356804326281E-7	-1.90781310876524923E-2
1.02239714818769123E-7	-1.87929797386004438E-2
1.02315350358459645E-7	-1.85053232148822522E-2
1.02365936507337318E-7	-1.83270246603144260E-2
1.02420249754177428E-7	-1.81450474294171360E-2
1.02487944131021314E-7	-1.79270994188693966E-2
1.02566367982886097E-7	-1.76804729325766052E-2
1.02617275584355250E-7	-1.75335623819034714E-2
1.02671746134507114E-7	-1.73900373690569343E-2
1.02739536335430182E-7	-1.72369555197957602E-2
1.02815537976968541E-7	-1.70988031634461102E-2
1.02866231613740133E-7	-1.70246542221331287E-2
1.02920548182191296E-7	-1.69553077929364004E-2
1.02988386215105066E-7	-1.68794657488978928E-2
1.03066496040377764E-7	-1.67947880066997324E-2
1.03117380639527845E-7	-1.67439915155875085E-2
1.03171872030953682E-7	-1.66911107290503624E-2
1.03239745128018501E-7	-1.66260766956114914E-2
1.03315548921778877E-7	-1.65449817266791932E-2
